uid,language,model,prompting_technique,category,path,text_sha1,judge_model,judge_label,judge_p_ai,judge_confidence,judge_brief_reason,error
14,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_14.txt,d53c4e1f57b091f84e943f1876ab6c60e9f01d01,claude-sonnet-4-5-20250929,ai,0.92,medium,"Highly formulaic structure, repetitive phrasing, generic political language, and overly formal bureaucratic tone typical of AI-generated Bangla news.",
15,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_15.txt,9b418b5c155a10abf7f13d344b44014738c55c77,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Bangla news structure with authentic local details, names, locations, and typical journalistic style for regional tragedy reporting.",
17,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_17.txt,a6c4ffb209109e0081f2a652e5fe7a39a25a8d78,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Bangla news structure with local correspondent attribution, authentic administrative terminology, and region-specific reporting style typical of Bangladeshi journalism.",
26,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_26.txt,e3cdc2a97da717c8d1ce806b7afba01b6dc9bd9a,claude-sonnet-4-5-20250929,ai,0.92,medium,"Highly formulaic structure, repetitive political phrases, overly formal Bangla, and generic analytical commentary suggest AI generation.",
3,bangla,gemini_2_5_flash,chain-of-thought,entertainment,articles_today/bangla_gemini_2_5_flash_chain-of-thought_entertainment_3.txt,5013de27678ec0889b5da2abe621d8d6371f1fca,claude-sonnet-4-5-20250929,human,0.25,medium,"Natural Bangla news structure with placeholder names, typical human journalistic conventions, and authentic cultural context.",
3,bangla,gemini_2_5_flash,chain-of-thought,sports,articles_today/bangla_gemini_2_5_flash_chain-of-thought_sports_3.txt,ef94f71003b99df677c6f40257e46d8408693a39,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural Bangla flow, contextual sports terminology, authentic local club names, and organic narrative structure suggest human authorship.",
31,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_31.txt,ea83a21ad26116a8df8bd3e9fdb07d707795b36f,claude-sonnet-4-5-20250929,ai,0.92,medium,"Highly structured format with numbered sections, formulaic language, generic quotes, and overly formal Bangla style typical of AI generation.",
5,bangla,gemini_2_5_flash,chain-of-thought,entertainment,articles_today/bangla_gemini_2_5_flash_chain-of-thought_entertainment_5.txt,e8eed60a2d2adc1940aad24a1d71218a07b37e51,claude-sonnet-4-5-20250929,human,0.15,medium,"Natural narrative flow, cultural context depth, nuanced social commentary, and authentic Bangla journalistic style suggest human authorship.",
5,bangla,gemini_2_5_flash,chain-of-thought,sports,articles_today/bangla_gemini_2_5_flash_chain-of-thought_sports_5.txt,cefab6beae10539e5b0f09b91bf2be36f7457367,claude-sonnet-4-5-20250929,ai,0.92,medium,"Generic narrative structure, repetitive motivational themes, lacks specific names/details, formulaic sports journalism style typical of AI generation.",
8,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_8.txt,3038b81621fa1bfc24f477cde7323f937ee943ae,claude-sonnet-4-5-20250929,ai,0.92,medium,"Repetitive formal structure, placeholder text, generic phrasing, and overly systematic organization typical of AI-generated Bangla news.",
1,bangla,gemini_2_5_pro,chain-of-thought,opinion,articles_today/bangla_gemini_2_5_pro_chain-of-thought_opinion_1.txt,47da2ef60754b9d3873c8a95494866f0c634ad23,claude-sonnet-4-5-20250929,human,0.25,medium,"Natural narrative flow, contextual depth, mixed script error ('अभूतपूर्व'), authentic journalistic style with cultural nuance",
