language,category,headline,prompting_technique,model,article_file,article_text
hindi,मनोरंजन,"बॉर्डर: एक युद्ध, एक सफल फ़िल्म और उपहार त्रासदी की कहानी",chain-of-thought,mistralai/Mistral-7B-Instruct-v0.2,articles_today/hindi_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_मन_र_जन_05005.txt,"शामिल होने वाला हिन्दी ख़बर:

""बॉर्डर: एक युद्ध, एक सफल फ़िल्म और उपहार त्रासदी की कहानी""

स्थान: अमेरिका-मेक्सिको बॉर्डर

यह अमेरिका-मेक्सिको बॉर्डर है, जहाँ  Hindu-Movie ""Border"" के अनेक दिन होने वाले अवसर के साथ यह कोई कहानी देखती है।

स्ट्रगल:

बॉर्डर पैट्रोल अजीविका अग्निभर कार्यकर्ताओं के लिए अनेक चुनौतियों को लेकर कहा जाएगा। उन्हें अपनपन देश के 安全 के लिए समर्थन करने का प्रयास किया जाता है जिसमें अपराधित प्रवास और उनके साथ जाने वाले दूरगाह, द्रग और खोदापत्र छोड़ावा होता है।

सफलता:

बॉर्डर पैट्रोल अजीविका अग्निभर कार्यकर्ताओं ने अपने अनुरूप के प्रयासों से अपना सफलता पाया है। उन्हें अर्जून, घसित और ग्राहण के रूप में अनेक होने वाले हैं।

फ़िल्म:

""Border"" एक हिन्दी फ़िल्म है जिसका स्टori अपने प्रतिबद्ध बॉर्डर स्थान के साथ सम्बन्धित है। यह अत्यधिक सम्बंधित है क्योंकि उसका स्टोरी अपने प्रतिबद्ध बॉर्डर स्थान के किसी भी ओछे दिन हो सकते हैं। यह फ़िल्म पूरे देश को बॉर्डर सेक्युरिटी के बारे में जागरूक करने में महत्वपूर्ण काम किया है।

उपहार और दरदशत:

बॉर्डर के गांव के साथ राहस्यपूर्ण संबंध है बॉर्डर पुलिस। अपने रास्ते पर खाद्य, पानी और अन्य उपहारों को छोड़कर लाते हैं जो लोकालियों को दरदशत देते हैं।

खत्म:

बॉर्डर पैट्रोल अजीविका अग्निभर कार्यकर्ताओं को अपने अपनी चुनौतियों से उस दृश्य से हर दिन चलाना है जहाँ अपने अपने अनुरूप के प्रयास किये जाते हैं। बॉर्डर सेक्युरिटी के लिए यह अहम है और बॉर्डर पैट्रोल का ही रोल अहम है। अब बॉर्डर सेक्युरिटी के विकास के लिए और अपने अपने समाधानों को ढूंढें।"
hindi,मनोरंजन,"सैफ़ बोले, 'तानाजी' में जो दिखाया गया वो ख़तरनाक",zero-shot,gpt-4o,articles_today/hindi_gpt_4o_zero-shot_मन_र_जन_05006.txt,"सैफ़ अली खान, जो बॉलीवुड के मशहूर अभिनेता हैं, ने हाल ही में फिल्म 'तानाजी: द अनसंग वॉरियर' के बारे में एक विवादास्पद बयान दिया है। सैफ़ ने कहा कि इस फिल्म में जो इतिहास दिखाया गया है, वह ख़तरनाक है। उन्होंने इस बात पर चिंता जताई कि फिल्म में ऐतिहासिक तथ्यों के साथ छेड़छाड़ की गई है, जिससे वास्तविक घटनाओं की तस्वीर धुंधली हो जाती है।

सैफ़ अली खान ने कहा, ""फिल्म में जिस तरह से ऐतिहासिक घटनाओं को प्रस्तुत किया गया है, वह लोगों के मन में भ्रम पैदा कर सकता है। यह महत्वपूर्ण है कि जब हम इतिहास को पर्दे पर लाते हैं, तो उसे पूरी सच्चाई के साथ दिखाया जाए।""

फिल्म 'तानाजी: द अनसंग वॉरियर' में सैफ़ ने उदयभान राठौड़ का किरदार निभाया था, जो एक प्रतिद्वंद्वी सेनापति था। फिल्म में अजय देवगन ने मुख्य भूमिका निभाई थी और इसे दर्शकों ने खूब सराहा, लेकिन सैफ़ के इस बयान ने एक नई बहस को जन्म दे दिया है।

सैफ़ का मानना है कि इतिहास को तोड़-मरोड़ कर पेश करना समाज के लिए खतरनाक हो सकता है और इससे युवा पीढ़ी के मन में गलत धारणाएं बन सकती हैं। उन्होंने कहा, ""हमें फिल्म निर्माण में अधिक जिम्मेदारी दिखाने की जरूरत है, खासकर जब यह इतिहास पर आधारित हो।""

सैफ़ अली खान के इस बयान के बाद सोशल मीडिया पर प्रशंसकों और आलोचकों के बीच बहस छिड़ गई है। कुछ लोग सैफ़ की बात का समर्थन कर रहे हैं, जबकि अन्य का मानना है कि फिल्म को मनोरंजन के नजरिए से देखा जाना चाहिए। यह देखना दिलचस्प होगा कि इस विवाद का फिल्म उद्योग पर क्या प्रभाव पड़ता है और क्या इससे ऐतिहासिक फिल्मों के निर्माण में बदलाव आएगा।"
bangla,life-style,খাবারে বেশি পছন্দে স্থূলতা,few-shot,gpt-4o,articles_today/bangla_gpt_4o_few-shot_life_style_05007.txt,"খাবারে বেশি পছন্দে স্থূলতা

বর্তমান সময়ে স্থূলতা একটি গ্লোবাল স্বাস্থ্যের সমস্যা হিসেবে বিবেচিত হচ্ছে। বিশ্বের বিভিন্ন দেশে স্থূলতার হার বৃদ্ধি পাচ্ছে, আর এর পেছনে অন্যতম কারণ হিসেবে উঠে আসছে খাবারের প্রতি অতি পছন্দ। বিশেষ করে উচ্চ ক্যালোরি এবং ফাস্ট ফুডের প্রতি আকর্ষণই অনেক ক্ষেত্রেই এই সমস্যার মূল কারণ হিসেবে দেখা দিচ্ছে।

বিশেষজ্ঞদের মতে, খাবারের প্রতি অতিরিক্ত নির্ভরশীলতা এবং অস্বাস্থ্যকর খাদ্যাভ্যাস স্থূলতার ঝুঁকি বাড়িয়ে তোলে। দ্রুত জীবনযাত্রা এবং সহজলভ্য ফাস্ট ফুডের কারণে মানুষ স্বাস্থ্যকর খাবার থেকে দূরে সরে যাচ্ছে। এর ফলে শরীরে অতিরিক্ত মেদ জমছে এবং স্থূলতা বাড়ছে।

বিশেষজ্ঞরা বলছেন, খাবারের পছন্দে সচেতন হতে হবে। সুষম খাদ্যাভ্যাস এবং নিয়মিত ব্যায়াম স্থূলতা প্রতিরোধে সহায়ক হতে পারে। স্বাস্থ্যকর জীবনযাপনে উৎসাহিত করতে পরিবার এবং সমাজের সবাইকে সচেতন হওয়ার আহ্বান জানানো হচ্ছে। পুষ্টি বিশেষজ্ঞরা পরামর্শ দিচ্ছেন, খাদ্যতালিকায় শাকসবজি, ফলমূল এবং প্রোটিন সমৃদ্ধ খাবারের পরিমাণ বাড়াতে হবে।

স্থূলতা শুধু শারীরিক সমস্যাই নয়, এটি মানসিক স্বাস্থ্যেও প্রভাব ফেলতে পারে। তাই এই সমস্যার সমাধানে সময়মতো পদক্ষেপ নেওয়া জরুরি। খাবারের পছন্দে নিয়ন্ত্রণ আনা এবং স্বাস্থ্যকর জীবনযাপনই হতে পারে স্থূলতা মোকাবিলায় কার্যকর সমাধান।"
tamil,தமிழகம்,மர்ம நபர்கள் அட்டகாசம் சென்னையில் 3 இடங்களில் ராஜீவ் சிலைகள் உடைப்பு மறியலில் ஈடுபட்ட காங்கிரசார் கைது,few-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_few-shot_தம_ழகம_05008.txt,"மர்ம நபர்கள் அட்டகாசம் சென்னையில் 3 இடங்களில் ராஜீவ் சிலைகள் உடைப்பு மறியலில் ஈடுபட்ட காங்கிரசார் கைது

தமிழ்நாடு சென்னை: உடன்குடி - மர்ம நபர்கள் அட்டகாசம் சென்னையில் திரும்புகிறது. இறைப்பொருள் குறித்த 3 இடங்களில் ராஜீவ் சிலைகள் உடையார் என உங்களிடம் அறிவிப்பத்தினால் உள்ளத்தில் என்பதை ஒரு காங்கிரசார் கைது விழுந்தது.

மக்கள் உள்ளது எண்பதை அறியாமல் அட்டகாசம் உடையிருக்கிற 3 இடங்களை ஒருவனும் அடக்க முடியாது. இது சென்னை ஆழ்ம்பூல், பெய்ந்து முக்கப்பட்ட சென்னை மக்கள் உள்ள புது இடம் என்ற இடங்கள். இது அட்டகாசம் கிடக்கும் எங்கள் இறைப்பு இடம் என்ற இடம் என உங்கள் அறிவிப்பிக்கப்பட்டது.

உடனே எண்ணிய பாவம் இருக்கிறது. இதை எங்களுக்கு ஒருவிடையில் இருக்கும் அட்டகாசம் உடைந்து இருக்கும் என்று அறியாமல் எண்ணிய பாவம் இருக்கிறது. இது குறித்து சமூகத்தில் உதவி அழைத்து எண்ணிய பாவம் இருக்கிறது. இதைத் தீர்க்கிறது என்ற ஓர காங்கிரசார் கைது விழுந்தது.

அட்டகாசம் உடைந்து இருக்கிறதும் எண்ணிய பாவம் இருக்கிறதும் என்ற ஓர காங்கிரசார் கைது விழுந்தது. இதையே என்ற ஓர காங்கிரசார் கைது இல்லாமல் இழ்த்தது. அவர் இந்த எண்ணிய பாவம் இருக்கிறது என்று அறிவிக்கிறது. அவர் இதை எங்கள் நிகழ்ச்சியில் இருக்கிறது என்று அறிவிக்கிறது.

உடனே எங்களுக்கு ஒரு மூலம் இருக்கிற அட்டகாசம் உடையிருக்கிறது. இது எங்கள் வளர்ந்த இணைப்பு என்ற ஓர காங்கிரசார் கைது அறிவிக்கிறது. இது எங்கள் இடம் என்ற இடம் என்ற ஓர காங்கிரசார் கைது அறிவிக்கிறது. இது எங்கள் இறைப்பு இடம் என்ற இடம் என்ற ஓர காங்கிரசார் கைது அறிவிக்கிறது. இது எங்கள் இடம் என்ற இடம் என்ற ஓர காங்கிரசார் கைது அறிவிக்கிறது. இது எங்கள் இடம் என்ற இடம் என்ற ஓர காங்கிரசார் கைது அறிவிக்கிறது.

இது எங்கள் இடம் என்ற இடம் என்ற ஓர காங்கிரசார் கைது அறிவிக்கிறது. இது எங்கள் இடம் என்ற இடம் என்ற ஓர காங்கிரசார் கைது அறிவிக்கிறது. இது எங்கள் இடம் என்ற இடம் என்ற ஓ"
bangla,bangladesh,"রান্নায় দেরি, তাই ছ্যাঁকা!",few-shot,gpt-4o,articles_today/bangla_gpt_4o_few-shot_bangladesh_05009.txt,"শিরোনাম: ""রান্নায় দেরি, তাই ছ্যাঁকা!""

প্রতিবেদন: গতকাল ঢাকার একটি স্থানীয় পরিবারে এক অদ্ভুত ঘটনা ঘটেছে যেখানে পরিবারের প্রধান সদস্য রান্নায় দেরির কারণে তার স্ত্রীর প্রতি ক্রোধে ছ্যাঁকা দিয়েছেন। প্রতিবেশীরা জানায়, দুপুরের খাবারের জন্য রান্না করতে দেরি হওয়ায় স্বামী তার স্ত্রীর উপর এমন আচরণ করেন। বিষয়টি নিয়ে এলাকায় তীব্র প্রতিক্রিয়া সৃষ্টি হয় এবং প্রতিবেশীরা এই ঘটনার তীব্র নিন্দা জানায়।

এদিকে, ভুক্তভোগী স্ত্রী স্থানীয় হাসপাতালে চিকিৎসাধীন রয়েছেন। চিকিৎসক জানান, তার শারীরিক অবস্থা স্থিতিশীল হলেও মানসিকভাবে তিনি ভেঙে পড়েছেন। এ ঘটনায় স্থানীয় থানায় অভিযোগ দায়ের করা হয়েছে এবং পুলিশ ঘটনার তদন্ত শুরু করেছে।

সমাজের বিভিন্ন স্তরের মানুষ এই ঘটনার নিন্দা জানিয়ে বলেন, এ ধরনের ঘৃণ্য আচরণ কোনোভাবেই মেনে নেওয়া যায় না। তারা আশা করছেন, অপরাধীর বিরুদ্ধে যথাযথ ব্যবস্থা গ্রহণ করা হবে এবং এ ধরনের ঘটনা রোধে সমাজে সচেতনতা বৃদ্ধি করা হবে।

নারী অধিকার কর্মীরা বলছেন, এ ধরনের ঘটনা নারীদের বিরুদ্ধে সহিংসতার একটি উদাহরণ এবং এর বিরুদ্ধে কঠোর আইনগত পদক্ষেপ গ্রহণ করা উচিত। তারা আরও বলেন, নারীরা তাদের পরিবারের সদস্যদের কাছ থেকে সম্মান ও মর্যাদা প্রাপ্য এবং তারা আশা করেন, এই ঘটনার সুষ্ঠু বিচার হবে।"
tamil,விளையாட்டு,இங்கிலாந்திடம் இருந்து நம்பர்ஒன் இடத்தை பறித்தது தெ.ஆ.,zero-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_வ_ள_ய_ட_ட_05010.txt,"இந்த வியாபர், தெ.ஆ இங்கிலாந்திடம் இருந்து நம்பர் ஒன் இடத்தை பறித்து கொண்டு எடுத்தார். தெ.ஆ இங்கிலாந்திடம் அமெரிக்கன் தாமிழ் அவர்களின் சமூஹத்தில் இருந்து இடம் பெற்றார். இடத்தின் இடம்படையாளர்கள் இதுவிடை இங்கிலேயே நபர்த்து கொண்டு இருந்தார்கள்.

தெ.ஆ இதுவிடையில் இருந்து நம்பர் ஒன் புதிய வங்காத்துவங்கள் இல்லை, என்று அவர் எடுத்தார். அவர் அதிக அனுபவம் எடுத்தார் அவர்கள் இதுவிடையில் இருந்து நம்பர் ஒன் பின்ணிய இடம்படையாளர்களை இலவசமாக இருந்தார்கள் என்பதை எடுத்துக்கொண்டு, ""இதுவிடையில் இருந்து நம்பர் ஒன் மீட்டு அவர்கள் இருந்து நம்பர் ஒன் புதிய அடிப்படையின் இலையில் இருக்கிறதாக இந்த இடத்தை ஆரம்பிக்கிறோம்"" என்று கூறினார்.

தெ.ஆ இதுவிடையில் இருந்து நம்பர் ஒன் பின்ணிய இடம்படையாளர்களுக்கு அடிப்படையான ஜனனாயக விளங்கு அமெரிக்க தாமிழ் அவர்களின் எண்ணில் உடாக்கி இருந்தார். அதிக அனுபவம் எடுத்துக்கொண்டு, ""இதுவிடையில் இருந்து நம்பர் ஒன் இடத்தை பறித்து எடுத்துக்கொண்டு எழுந்திருக்கிறேன்"" என்று கூறினார்.

அதிக அனுபவம் எடுத்துக்கொண்டு, ""இதுவிடையில் இருந்து நம்பர் ஒன் ஒரு பின்ணிய இடம்படையாளர் என்பதாக இந்த இடத்தை ஆரம்பிக்கிறோம்"" என்று கூறினார். இப்படி இந்த இடத்தை ஆரம்பிக்கப்பட்ட இடம்படையாளர்கள் இந்த இடத்தை அடிப்படையான ஜனனாயக விளங்கு அமெரிக்க தாமிழ் அவர்களின் எண்ணில் உடாக்கி இருந்தார்கள்."
telugu,eenadu_crime,విశాఖ ఓడరేవులో క్రేన్‌ దగ్ధం,zero-shot,gpt-4o,articles_today/telugu_gpt_4o_zero-shot_eenadu_crime_05011.txt,"విశాఖపట్నం: విశాఖపట్నం ఓడరేవులో గురువారం ఉదయం జరిగిన ప్రమాదంలో క్రేన్‌ దగ్ధమైంది. ఈ ఘటనలో ఎవరికీ గాయాలు కాలేదని అధికారులు తెలిపారు. సమాచారం మేరకు, ఓడరేవులో ఉన్న క్రేన్‌లో మంటలు చెలరేగాయి. వెంటనే అగ్నిమాపక సిబ్బంది అక్కడికి చేరుకుని మంటలను అదుపులోకి తెచ్చారు.

ప్రాథమిక సమాచారం ప్రకారం, క్రేన్‌లో విద్యుత్ షార్ట్ సర్క్యూట్ కారణంగా మంటలు చెలరేగి ఉండవచ్చని అనుమానిస్తున్నారు. ఈ ఘటనపై మరింత సమాచారం కోసం దర్యాప్తు కొనసాగుతోంది. క్రేన్ దగ్ధం కావడంతో ఓడరేవులో పనిచేస్తున్న పనులు తాత్కాలికంగా నిలిపివేయబడ్డాయి.

ఈ ఘటనపై ఓడరేవు నిర్వాహకులు ఆందోళన వ్యక్తం చేశారు. భవిష్యత్తులో ఇలాంటి సంఘటనలు పునరావృతం కాకుండా తీసుకోవలసిన జాగ్రత్తలను సమీక్షిస్తున్నారు. అదేవిధంగా, సాంకేతిక కారణాలను పరిశీలించి తదుపరి చర్యలు చేపట్టనున్నారు."
tamil,தமிழகம்,"காவிரி மேலாண்மை வாரியம், ஸ்டெர்லைட் ஆலை விவகாரம் நடிகர், நடிகைகள் சென்னையில் போராட்டம்: ரஜினி, கமல் பங்கேற்பு",zero-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/tamil_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_தம_ழகம_05012.txt,"சென்னை, காவிரி மேலாண்மை வாரியம் என்ப ப்ரெசிடிவிடை அம்பிக்கம் என்ற ஸ்டெர்லைட் ஆலை விவகாரம் நடிகர்த்துக்கொள்ளப்பட்டு, இது எங்களில் உடவ்வோடு எடுத்து அல்லது இருக்கிற நடிக்கள் சென்னையில் போராட்டம் ஏற்படுவதை அறிவிக்கிறோம். தேசிய நடிக்கள் ரஜினி அம்மால அல்லது கமல் பங்கேற்பு, எப்படி எதிர்பார்த்தப்பட்ட இது கீழ் வேறொரு விவரங்களில் நிகழ்வது உள்ளது.

அம்பிக்கம் என்ற ஸ்டெர்லைட் ஆலை விவகாரம், காவிரி மேலாண்மை வாரியம் என்ப ப்ரெசிடிவிடை அம்பிக்க என எழுந்துகொள்ளப்பட்டது. இது அம்பிக்க என்ற பகிர்ந்த உள்ளித் தொடர்பாக இருக்கிற ஒரு உரையால் இந்த அம்பிக்க பகிர்ந்த உள்ளித் தொடர்பாயிற்று.

""இந்த பகிர்ந்த உள்ளித் தொடர்பாயிற்று, காவிரி மேலாண்மை என்ற வழியில் உரிமை உங்கள் பிறகு இருக்க வேண்டும். இந்த உரையில் உங்கள் தொடர்பாக இருக்கும் உரிமையை இயங்காமல், இங்கே இருக்க வேண்டியதில் உங்கள் உரிமை இயங்கி விடும். இந்த உரையில் உங்கள் இருப்பது உதவிக்கு மலர்பட்டது"", என்று எப்படி அம்பிக்க உள்ளித் தொடர்பாயிற்று.

இந்த விவகாரம் எப்படி உதவி செய்யப்பட்டு, சென்னையில் போராட்டம் ஏற்படுவதை அறிவிக்கிறோம். இந்த அப்படியே என்னப்பட்ட அம்பிக்க விவகாரம், இந்த உரையை அம்பிக்க உள்ளித் தொடர்பாக இருக்கிறது. தேசிய நடிக்கள் ரஜினி அம்மால அல்லது கமல் பங்கேற்பு, எப்படி எதிர்பார்த்தப்பட்ட இது கீழ் வேறொரு விவரங்களில் நிகழ்வது உள்ளது.

இந்த அம்பிக்க விவகாரம், காவிரி மேலாண்மை என்ற வழியில் உரிமை உங்கள் பிறகு இருக்க வேண்டும் என்ற உரையை அம்பிக்க உள்ளித் தொடர்பாக இருக்கிறது. இந்த உரையை உங்கள் இருப்பது உதவிக்கு மலர்பட்டது. இந்த உரையில் உங்கள் உரிமையை இயங்கி விடும். இந்த உரையில் உங்கள் இருப்பது உதவிக்கு மலர்பட்டது."
bangla,entertainment,ক্যাটরিনার আংটি কী বলে!,few-shot,gpt-4o,articles_today/bangla_gpt_4o_few-shot_entertainment_05013.txt,"ক্যাটরিনার আংটি কী বলে!

বলিউডের জনপ্রিয় অভিনেত্রী ক্যাটরিনা কাইফ সম্প্রতি তার আঙুলে একটি নতুন আংটি পরে ধরা দিয়েছেন, যা নিয়ে বলিউড পাড়ায় চলছে জোর গুঞ্জন। এই আংটিটি কেবল একটি গয়না নয়, বরং এটি হতে পারে তার ব্যক্তিগত জীবনের একটি গুরুত্বপূর্ণ চিহ্ন।

সম্প্রতি মুম্বাইয়ের একটি হোটেলে আয়োজিত একটি অনুষ্ঠানে ক্যাটরিনাকে এই আংটিটি পরতে দেখা যায়। অনুষ্ঠানে উপস্থিত অনেকেই এই আংটির দিকে নজর দিয়েছেন। এর ফলে, ক্যাটরিনার ভক্তদের মধ্যে শুরু হয়েছে কৌতূহল এবং জল্পনা-কল্পনা।

কিছু সূত্রের দাবি, এই আংটিটি তার বর্তমান সম্পর্কের একটি প্রতীক হতে পারে। যদিও ক্যাটরিনা নিজে এ নিয়ে কোনো মন্তব্য করেননি, তবে তার কাছের অনেকেই বলছেন, এটি তার ব্যক্তিগত জীবনের একটি বিশেষ মুহূর্তের স্মারক।

এদিকে, এই আংটিটি নিয়ে ক্যাটরিনার ভক্তদের মধ্যে উত্তেজনা বেড়েছে। সোশ্যাল মিডিয়ায় ছবিটি ভাইরাল হয়েছে এবং অনেকেই এটি নিয়ে মন্তব্য করছেন। তবে, ক্যাটরিনা কি সত্যিই ব্যক্তিগত জীবনে কোনো বড় পদক্ষেপ নিয়েছেন, তা সময়ই বলে দেবে। 

এখন শুধু সময়ের অপেক্ষা, ক্যাটরিনা কবে এই বিষয়ে মুখ খুলবেন। ততদিন পর্যন্ত তার ভক্তরা অপেক্ষায় থাকবেন এই আংটির আসল রহস্য জানার জন্য।"
bangla,bangladesh,মির্জা ফখরুল যুক্তরাষ্ট্রে গেছেন,zero-shot,mistralai/Mistral-7B-Instruct-v0.2,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_bangladesh_05014.txt,"নয়াব মির্জা ফখরুল ইমাম জনাব আলী সেনাপতি ফঙ্কার ফরস ফোড় ফিরে গেছেন মির্জা ফখরুল যুক্তরাষ্ট্রে। এই ফিরে আনা শুধুমাত্র তথ্য প্রকাশ করা হয়েছে, কিন্তু তার অধিকারি বলেন তার প্রতি সময় প্রকাশ করা হবে।

মির্জা ফখরুলের আগে ফোড় ফিরে আনার উদ্দেশ্য চাঁদ্রাবর সাধনা থাকে। মূলত একজন প্রতিবেদন জনপ্রশাসক ছিলেন এবং দাঁড়ায় তার সমাজ সংখ্যা ছিলেন নির্বাহী সরকার সেনাপতি ও সম্পর্কে উদ্বিগ্ন ছিলেন। মির্জা ফখরুল আরো ২০ বছর পৌড়ে রাজ্য রাজনীতি থেকে বাহির থাকেন।

মির্জা ফখরুলের ফিরে আনার প্রকার ফর্স হল দিয়াব আবূ বাকর সেনাপতির উদ্যোগে। দিয়াব আবূ বাকর সেনাপতি ভারতে ঘুরতে আসবে এবং জনপ্রশাসক থেকে আনার অনুরোধ করবেন এবং তাকে উৎসাহ দিবেন যে তিনি ফরস ফোড় ফিরে আনা যাবেন। মির্জা ফখরুলের ফিরে আনার প্রকার ফর্স সাধারণত একটি ধারণা ছিলেন যে এটা মূলক ধরনের উদ্দেশ্য ছিলেন। তবে এই উদ্দেশ্য ফলে যাওয়ায় এমন অভিযোগ ছিল যা দিয়াব আবূ বাকর সেনাপতির উদ্যোগে মির্জা ফখরুল ফরস ফোড় ফিরে আনা হয়েছেন।

মির্জা ফখরুলের ফিরে আনা অনুরূপ অধিকারি বলেন তাকে বিশ্ববিদ্যালয়ে ফিরে আনার উদ্দেশ্য ছিলেন। একটি বিশ্ববিদ্যালয় থেকে তাকে ফিরে আনা হয়েছে এবং তার প্রতি বলা হয় যে এখন তাকে বিশ্ববিদ্যালয়ে থাকতে হবে। মির্জা ফখরুল ফিরে আনার উদ্দেশ্য সময়সম্মত ছিলেন যে তিনি যুক্তরাষ্ট্রে ফিরে আনেন এবং যথাযোগ করে ফরস ফোড় ফিরে আনা যাবেন।

এই ফিরে আনা তথ্য প্রকাশ করা হয়েছে থেকোবর মির্জা ফখরুল ফটিয়া ফিরে আনার উদ্দেশ্য ছিলো। তবে এটা একটি সবসময় উদ্দেশ্য ছিলো যে তিনি ফিরে আনেন এবং ফরস ফোড় ফিরে আনা ঘটবেন। তবে এই উদ্দেশ্য ফলে যাওয়ায় মির্জা ফখরুল ফরস ফোড় ফিরে আনা হয়েছেন এবং বাহির থাকেন মির্জা ফখরুল রাজ্য রাজনীতি থেকে ২০ বছর পৌড়ে। সবসময় প্রতিবেদন করা হবে এবং তার সম্পর্কে আরো তথ্য ফেলা হবে।"
