uid,language,model,prompting_technique,category,path,text_sha1,rewrite_provider,rewrite_model,n_rewrites,edit_ratio_min,raidar_score,error
14,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_14.txt,d53c4e1f57b091f84e943f1876ab6c60e9f01d01,openai,gpt-4o-mini,1,0.03652221313709458,0.9634777868629054,
15,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_15.txt,9b418b5c155a10abf7f13d344b44014738c55c77,openai,gpt-4o-mini,1,0.09286971830985916,0.9071302816901409,
17,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_17.txt,a6c4ffb209109e0081f2a652e5fe7a39a25a8d78,openai,gpt-4o-mini,1,0.12525667351129363,0.8747433264887063,
26,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_26.txt,e3cdc2a97da717c8d1ce806b7afba01b6dc9bd9a,openai,gpt-4o-mini,1,0.11173184357541899,0.888268156424581,
3,bangla,gemini_2_5_flash,chain-of-thought,entertainment,articles_today/bangla_gemini_2_5_flash_chain-of-thought_entertainment_3.txt,5013de27678ec0889b5da2abe621d8d6371f1fca,openai,gpt-4o-mini,1,0.08330261702911905,0.916697382970881,
3,bangla,gemini_2_5_flash,chain-of-thought,sports,articles_today/bangla_gemini_2_5_flash_chain-of-thought_sports_3.txt,ef94f71003b99df677c6f40257e46d8408693a39,openai,gpt-4o-mini,1,0.10961848468565287,0.8903815153143472,
31,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_31.txt,ea83a21ad26116a8df8bd3e9fdb07d707795b36f,openai,gpt-4o-mini,1,0.07407407407407407,0.9259259259259259,
5,bangla,gemini_2_5_flash,chain-of-thought,entertainment,articles_today/bangla_gemini_2_5_flash_chain-of-thought_entertainment_5.txt,e8eed60a2d2adc1940aad24a1d71218a07b37e51,openai,gpt-4o-mini,1,0.08206330597889801,0.917936694021102,
5,bangla,gemini_2_5_flash,chain-of-thought,sports,articles_today/bangla_gemini_2_5_flash_chain-of-thought_sports_5.txt,cefab6beae10539e5b0f09b91bf2be36f7457367,openai,gpt-4o-mini,1,0.1757134862898713,0.8242865137101287,
8,bangla,gemini_2_5_flash,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_8.txt,3038b81621fa1bfc24f477cde7323f937ee943ae,openai,gpt-4o-mini,1,0.08013640238704177,0.9198635976129582,
1,bangla,gemini_2_5_pro,chain-of-thought,opinion,articles_today/bangla_gemini_2_5_pro_chain-of-thought_opinion_1.txt,47da2ef60754b9d3873c8a95494866f0c634ad23,openai,gpt-4o-mini,1,0.07341001353179973,0.9265899864682002,
11,bangla,gemini_2_5_pro,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_11.txt,23d5f34839938f9f515d96819d448dafe9365c82,openai,gpt-4o-mini,1,0.08194536975349767,0.9180546302465024,
17,bangla,gemini_2_5_pro,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_17.txt,696814ab6d01427f51cd0647f3dc00430f47181a,openai,gpt-4o-mini,1,0.07951945080091533,0.9204805491990846,
18,bangla,gemini_2_5_pro,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_18.txt,3de67744a76b47ba1be9a674669c5e5cb2556926,openai,gpt-4o-mini,1,0.09055310817425355,0.9094468918257465,
19,bangla,gemini_2_5_pro,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_19.txt,d89a6eec691eefca9d727b3f083af80fd9d58525,openai,gpt-4o-mini,1,0.1092190252495596,0.8907809747504404,
2,bangla,gemini_2_5_pro,chain-of-thought,bangladesh,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_2.txt,c04dff4ae8c04865820dbf245be53e89b33e4237,openai,gpt-4o-mini,1,0.12376847290640394,0.8762315270935961,
5,bangla,gemini_2_5_pro,chain-of-thought,entertainment,articles_today/bangla_gemini_2_5_pro_chain-of-thought_entertainment_5.txt,63762c2231d79c383baa2d3890b335c3700f0526,openai,gpt-4o-mini,1,0.03908629441624366,0.9609137055837563,
