uid,language,model,prompting_technique,category,path,text_sha1,rewrite_provider,rewrite_model,n_rewrites,edit_ratio_min,raidar_score,error_raidar,judge_model,judge_label,judge_p_ai,judge_confidence,judge_brief_reason,error_judge
00061,bangla,mistralai_Mistral_7B_Instruct_v0_2,chain-of-thought,bangladesh,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_chain-of-thought_bangladesh_00061.txt,f5c168698005630bab6f7d57f505d900f5e3f954,openai,gpt-4o-mini,1,0.5993103448275862,0.40068965517241384,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Severe grammatical errors, unnatural repetition, nonsensical phrases, and machine translation artifacts indicate AI generation with poor Bangla language model.",
00087,bangla,gpt_4o,chain-of-thought,bangladesh,articles_today/bangla_gpt_4o_chain-of-thought_bangladesh_00087.txt,a6f19887be7d69f9e9a996344b6eeacd7e539fa3,openai,gpt-4o-mini,1,0.04462712859659425,0.9553728714034058,,claude-sonnet-4-5-20250929,ai,0.92,medium,Highly structured template format with systematic categorization unusual for authentic Bangla crime reporting style.,
00143,hindi,gpt_4o,few-shot,स_शल,articles_today/hindi_gpt_4o_few-shot_स_शल_00143.txt,5ac86c23855282d76b1dd8d08e512efdc7147073,openai,gpt-4o-mini,1,0.13126709206927986,0.8687329079307201,,claude-sonnet-4-5-20250929,human,0.15,medium,"BBC Hindi attribution, natural news structure, authentic controversy coverage, human editorial style evident throughout.",
00146,bangla,gpt_4o,chain-of-thought,bangladesh,articles_today/bangla_gpt_4o_chain-of-thought_bangladesh_00146.txt,f99817d7f9bb0af99b11dff378fa3a0ad5599938,openai,gpt-4o-mini,1,0.11414213926776741,0.8858578607322326,,claude-sonnet-4-5-20250929,human,0.15,medium,"Contains political controversy, direct quotes, natural narrative flow, and contextual depth typical of human journalism.",
00148,telugu,gpt_4o,few-shot,eenadu_national,articles_today/telugu_gpt_4o_few-shot_eenadu_national_00148.txt,11cba9330bef641990a31cd766ba353f5bf65b98,openai,gpt-4o-mini,1,0.16041979010494753,0.8395802098950524,,claude-sonnet-4-5-20250929,ai,0.88,medium,"Generic phrasing, repetitive structure, lacks specific hospital/parent names, formulaic medical news template typical of AI.",
00160,bangla,mistralai_Mistral_7B_Instruct_v0_2,few-shot,bangladesh,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_few-shot_bangladesh_00160.txt,d87614f393a264739d67f71f28cd05040ffa55ac,openai,gpt-4o-mini,1,0.44,0.56,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Severe grammatical errors, nonsensical phrases, repetitive structure, and incoherent narrative indicate AI generation with poor Bangla language model.",
00174,bangla,mistralai_Mistral_7B_Instruct_v0_2,zero-shot,sports,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_sports_00174.txt,87e88c887deb46aa015527a3008b79662ab31a0b,openai,gpt-4o-mini,1,0.6477931341952742,0.3522068658047258,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Severe repetition, incoherent structure, mixed English-Bangla, nonsensical phrases, and machine-translation artifacts indicate AI generation.",
00182,tamil,gpt_4o,few-shot,இந_த_ய,articles_today/tamil_gpt_4o_few-shot_இந_த_ய_00182.txt,ba06a79b8501b924be2cb5909828786e65df5701,openai,gpt-4o-mini,1,0.24920127795527156,0.7507987220447284,,claude-sonnet-4-5-20250929,human,0.15,medium,Natural Tamil news style with authentic governmental reporting structure and contextual flow typical of human journalism.,
00198,telugu,gpt_4o,chain-of-thought,eenadu_crime,articles_today/telugu_gpt_4o_chain-of-thought_eenadu_crime_00198.txt,2621dc448f659bb5a5bc1338c5b5012f0ca4d3fb,openai,gpt-4o-mini,1,0.13869537682077265,0.8613046231792274,,claude-sonnet-4-5-20250929,ai,0.92,medium,"Repetitive phrasing, formulaic structure, generic official statements, and overly formal Telugu style suggest AI generation.",
00228,bangla,mistralai_Mistral_7B_Instruct_v0_2,zero-shot,bangladesh,articles_today/bangla_mistralai_Mistral_7B_Instruct_v0_2_zero-shot_bangladesh_00228.txt,3f59838ed50714c91423abd70f50d7bdafbf8894,openai,gpt-4o-mini,1,0.36687751581368605,0.6331224841863139,,claude-sonnet-4-5-20250929,ai,0.95,medium,"Incoherent topic mixing, repetitive phrasing, nonsensical technical terms, unnatural Bangla syntax, and abrupt ending indicate AI generation.",
