language,model,prompting_technique,category,uid,filename,path,source
bangla,gemini_2_5_flash,chain-of-thought,bangladesh,14,bangla_gemini_2_5_flash_chain-of-thought_bangladesh_14.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_14.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,bangladesh,15,bangla_gemini_2_5_flash_chain-of-thought_bangladesh_15.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_15.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,bangladesh,17,bangla_gemini_2_5_flash_chain-of-thought_bangladesh_17.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_17.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,bangladesh,26,bangla_gemini_2_5_flash_chain-of-thought_bangladesh_26.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_26.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,entertainment,3,bangla_gemini_2_5_flash_chain-of-thought_entertainment_3.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_entertainment_3.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,sports,3,bangla_gemini_2_5_flash_chain-of-thought_sports_3.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_sports_3.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,bangladesh,31,bangla_gemini_2_5_flash_chain-of-thought_bangladesh_31.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_31.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,entertainment,5,bangla_gemini_2_5_flash_chain-of-thought_entertainment_5.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_entertainment_5.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,sports,5,bangla_gemini_2_5_flash_chain-of-thought_sports_5.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_sports_5.txt,ai
bangla,gemini_2_5_flash,chain-of-thought,bangladesh,8,bangla_gemini_2_5_flash_chain-of-thought_bangladesh_8.txt,articles_today/bangla_gemini_2_5_flash_chain-of-thought_bangladesh_8.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,opinion,1,bangla_gemini_2_5_pro_chain-of-thought_opinion_1.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_opinion_1.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,bangladesh,11,bangla_gemini_2_5_pro_chain-of-thought_bangladesh_11.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_11.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,bangladesh,17,bangla_gemini_2_5_pro_chain-of-thought_bangladesh_17.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_17.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,bangladesh,18,bangla_gemini_2_5_pro_chain-of-thought_bangladesh_18.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_18.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,bangladesh,19,bangla_gemini_2_5_pro_chain-of-thought_bangladesh_19.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_19.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,bangladesh,2,bangla_gemini_2_5_pro_chain-of-thought_bangladesh_2.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_2.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,entertainment,5,bangla_gemini_2_5_pro_chain-of-thought_entertainment_5.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_entertainment_5.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,international,5,bangla_gemini_2_5_pro_chain-of-thought_international_5.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_international_5.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,bangladesh,6,bangla_gemini_2_5_pro_chain-of-thought_bangladesh_6.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_6.txt,ai
bangla,gemini_2_5_pro,chain-of-thought,bangladesh,8,bangla_gemini_2_5_pro_chain-of-thought_bangladesh_8.txt,articles_today/bangla_gemini_2_5_pro_chain-of-thought_bangladesh_8.txt,ai
bangla,gemma_3_12b_it,chain-of-thought,technology,1,bangla_gemma_3_12b_it_chain-of-thought_technology_1.txt,articles_today/bangla_gemma_3_12b_it_chain-of-thought_technology_1.txt,ai
bangla,gemma_3_12b_it,chain-of-thought,sports,1,bangla_gemma_3_12b_it_chain-of-thought_sports_1.txt,articles_today/bangla_gemma_3_12b_it_chain-of-thought_sports_1.txt,ai
bangla,gemma_3_12b_it,chain-of-thought,bangladesh,12,bangla_gemma_3_12b_it_chain-of-thought_bangladesh_12.txt,articles_today/bangla_gemma_3_12b_it_chain-of-thought_bangladesh_12.txt,ai
